Protocol ID,Protocol name,Measurement date & time,Completion status,Run ID,Rack,Det,Pos,Time,Sample code,Cu-64 Counts,Cu-64 CPM,Cu-64 Error %,Cu-64 Info,Coordinates,
51,Cu-64 Counts,3/11/2021 18:53,0,1889,5,1,3,60.05,,14990.34,15732.58,0.82,,"[1,2,0]",
51,Cu-64 Counts,3/11/2021 18:54,0,1889,5,1,4,60.05,,6978.3,7314.08,1.2,,"[1,3,0]",
51,Cu-64 Counts,3/11/2021 18:56,0,1889,5,1,5,60.05,,16424.02,17280.69,0.78,,"[0,-3,0]",
51,Cu-64 Counts,3/11/2021 18:57,0,1889,5,1,6,60.03,,36584.88,38651.22,0.52,,"[0,-2,0]",
51,Cu-64 Counts,3/11/2021 18:58,0,1889,5,1,7,60.06,,22727.52,23988.07,0.66,,"[0,-1,0]",
51,Cu-64 Counts,3/11/2021 18:59,0,1889,5,1,8,60.05,,2641.47,2765.23,1.95,,"[0,0,0]",
51,Cu-64 Counts,3/11/2021 19:01,0,1889,5,1,9,60.05,,75460.71,80296.91,0.36,,"[0,1,0]",
51,Cu-64 Counts,3/11/2021 19:02,0,1889,5,1,10,60.04,,8650.26,9136.94,1.08,,"[0,2,0]",
51,Cu-64 Counts,3/11/2021 19:03,0,1889,6,1,1,60.05,,5301.71,5596.55,1.38,,"[0,3,0]",
51,Cu-64 Counts,3/11/2021 19:05,0,1889,6,1,2,60.04,,50808.06,54140.15,0.44,,"[-1,-3,0]",
51,Cu-64 Counts,3/11/2021 19:06,0,1889,6,1,3,60.05,,317663.43,347445.63,0.17,,"[-1,-2,0]",
51,Cu-64 Counts,3/11/2021 19:07,0,1889,6,1,4,60.03,,15968.89,16982.34,0.79,,"[-1,-1,0]",
51,Cu-64 Counts,3/11/2021 19:08,0,1889,6,1,5,60.04,,3666.95,3881.18,1.66,,"[-1,0,0]",
51,Cu-64 Counts,3/11/2021 19:10,0,1889,6,1,6,60.05,,50183.75,53701.22,0.45,,"[-1,1,0]",
51,Cu-64 Counts,3/11/2021 19:11,0,1889,6,1,7,60.04,,2921.39,3093.69,1.86,,"[-1,2,0]",
51,Cu-64 Counts,3/11/2021 19:12,0,1889,6,1,8,60.04,,2446.87,2590.07,2.03,,"[-1,3,0]",
